Mesh,MeshScale,Reference,Vth_Max_Abs_Diff_mV,Vth_Limit_mV,Vth_Pass,SS_Max_Rel_Error_pct,SS_Limit_pct,SS_Pass,Ion_Max_Rel_Error_pct,Ion_Screening_Limit_pct,Ion_Screening_Pass,Ion_Baseline_Preference_Limit_pct,Ion_Baseline_Preference_Pass,Ioff_Max_Decade_Diff,Ioff_Limit_Decade,Ioff_Pass,DIBL_Abs_Diff_mV_per_V,DIBL_Abs_Limit_mV_per_V,DIBL_Abs_Pass,DIBL_Rel_Error_pct,DIBL_Rel_Limit_pct,DIBL_Rel_Pass,DIBL_Baseline_Preference_Limit_pct,DIBL_Baseline_Preference_Pass,Overall_DC_Screening_Pass,Baseline_Preference_Pass,Recommended_Use
Coarse,2.0,Fine MeshScale=0.5,0.1391992834536282,1.0,True,0.037385044858951555,1.0,True,1.8960319186376664,2.0,True,1.0,False,0.07250257065796184,0.10,True,0.11663391037933968,0.5,True,3.4660086970779704,5.0,True,2.0,False,True,False,Exploratory DC screening only; not selected baseline
Medium,1.0,Fine MeshScale=0.5,0.04747737976784627,1.0,True,0.02667533615070058,1.0,True,0.8417219792514221,2.0,True,1.0,True,0.038524604652552696,0.10,True,0.04324313649746525,0.5,True,1.2850558358342927,5.0,True,2.0,True,True,True,Official P2 global-DC baseline
Fine,0.5,Fine MeshScale=0.5,0.0,1.0,True,0.0,1.0,True,0.0,2.0,True,1.0,True,0.0,0.10,True,0.0,0.5,True,0.0,5.0,True,2.0,True,True,True,Reference validation mesh; not selected because of higher cost
